Epoch,Batch Size,Learning Rate,Optimizer,Train Loss,Test Loss,Val Loss,Train Acc,Test Acc,Val Acc,Train Precision,Test Precision,Val Precision,Train Recall,Test Recall,Val Recall,Train F1 Score,Test F1 Score,Val F1 Score,Train ROC AUC,Test ROC AUC,Val ROC AUC,Train RMSE,Test RMSE,Val RMSE
1,8,0.0001,LAMB,1.0816,1.0763,1.0731,0.3981,0.4109,0.4307,0.3542,0.6067,0.2868,0.3574,0.3726,0.3864,0.3102,0.3158,0.3288,0.5353,0.5752,0.5801,0.9701,0.9828,0.9653
2,8,0.0001,LAMB,1.0698,1.0689,1.0653,0.4242,0.414,0.4396,0.4251,0.4119,0.3843,0.3803,0.3769,0.3952,0.3266,0.3279,0.3407,0.5771,0.5912,0.5966,0.9532,0.9833,0.9697
3,8,0.0001,LAMB,1.063,1.0643,1.0598,0.4304,0.419,0.4455,0.4174,0.4371,0.4139,0.388,0.3806,0.4002,0.3422,0.3269,0.3441,0.5922,0.5987,0.6043,0.965,0.9838,0.9623
4,8,0.0001,LAMB,1.0566,1.0596,1.0552,0.4417,0.4246,0.448,0.424,0.4552,0.4349,0.3993,0.3875,0.4041,0.3565,0.3443,0.3561,0.6049,0.6054,0.6114,0.9634,0.9348,0.9161
5,8,0.0001,LAMB,1.0522,1.0561,1.0512,0.4456,0.4221,0.4474,0.4376,0.44,0.4317,0.4049,0.3876,0.4058,0.3693,0.3488,0.3628,0.6119,0.6115,0.6177,0.9618,1.0029,0.9846
6,8,0.0001,LAMB,1.0479,1.0523,1.0475,0.4498,0.4386,0.4549,0.4416,0.4673,0.4335,0.4103,0.405,0.4135,0.3783,0.376,0.3761,0.6186,0.6162,0.6228,0.9633,0.9607,0.9459
7,8,0.0001,LAMB,1.0443,1.0499,1.0447,0.4547,0.4302,0.4542,0.4539,0.4647,0.4405,0.4169,0.3966,0.4122,0.391,0.3641,0.3715,0.624,0.62,0.6266,0.9581,0.987,0.9697
8,8,0.0001,LAMB,1.0396,1.0474,1.0426,0.4643,0.4462,0.4536,0.4634,0.4714,0.4484,0.4267,0.4128,0.4133,0.4023,0.3849,0.3775,0.6311,0.6241,0.631,0.9581,0.9214,0.9124
9,8,0.0001,LAMB,1.0368,1.044,1.0384,0.4654,0.4403,0.4607,0.4604,0.4554,0.4472,0.4286,0.4099,0.4226,0.4062,0.3891,0.3949,0.6347,0.627,0.6346,0.9551,0.9759,0.9631
10,8,0.0001,LAMB,1.0324,1.0412,1.0361,0.468,0.4459,0.4644,0.4654,0.4607,0.4515,0.4321,0.415,0.4261,0.4123,0.3935,0.3985,0.6407,0.6307,0.6371,0.9557,0.9739,0.9605
11,8,0.0001,LAMB,1.0293,1.0384,1.0336,0.4746,0.4585,0.4697,0.4713,0.4702,0.4577,0.4391,0.4324,0.4358,0.4204,0.4222,0.4188,0.6439,0.6338,0.6399,0.9523,0.9652,0.956
12,8,0.0001,LAMB,1.0254,1.0368,1.0314,0.4781,0.4596,0.4682,0.4747,0.4766,0.457,0.4437,0.4351,0.4353,0.4278,0.426,0.4191,0.6496,0.6367,0.6429,0.949,0.9845,0.9826
13,8,0.0001,LAMB,1.0229,1.0334,1.029,0.4782,0.465,0.4699,0.475,0.4727,0.4585,0.4446,0.439,0.4366,0.4302,0.4292,0.4207,0.6521,0.6403,0.6455,0.954,0.9645,0.9588
14,8,0.0001,LAMB,1.0195,1.0315,1.0269,0.4824,0.4728,0.4753,0.4764,0.479,0.4635,0.4485,0.4511,0.4456,0.4338,0.4474,0.4356,0.6562,0.6425,0.6478,0.9532,0.9635,0.9612
15,8,0.0001,LAMB,1.0166,1.0295,1.0243,0.4853,0.4734,0.4736,0.4802,0.4824,0.4635,0.4524,0.447,0.44,0.4396,0.4376,0.4238,0.6592,0.6441,0.6501,0.9476,0.9473,0.9426
16,8,0.0001,LAMB,1.0122,1.0273,1.0228,0.4899,0.4714,0.4755,0.483,0.4801,0.4657,0.4571,0.4459,0.4428,0.4448,0.4367,0.4282,0.6636,0.6471,0.6516,0.9496,0.975,0.9659
17,8,0.0001,LAMB,1.0102,1.0249,1.0204,0.4881,0.4739,0.4804,0.481,0.4821,0.4693,0.456,0.4497,0.4487,0.4445,0.4429,0.4362,0.6662,0.65,0.6544,0.9488,0.9659,0.959
18,8,0.0001,LAMB,1.0066,1.0231,1.0183,0.4941,0.4767,0.4822,0.4911,0.481,0.4705,0.4629,0.452,0.4504,0.4533,0.4447,0.4381,0.6702,0.6515,0.6564,0.9428,0.9649,0.955
19,8,0.0001,LAMB,1.0029,1.0215,1.0165,0.5024,0.4711,0.4797,0.5,0.4775,0.4693,0.4715,0.4463,0.4482,0.4629,0.4376,0.4357,0.675,0.6539,0.6586,0.9392,0.9812,0.9705
20,8,0.0001,LAMB,0.9993,1.0194,1.0146,0.5032,0.4762,0.4833,0.4993,0.4908,0.4785,0.4724,0.449,0.449,0.4638,0.4376,0.4321,0.6775,0.657,0.6611,0.938,0.9639,0.9564
21,8,0.0001,LAMB,0.9961,1.017,1.0133,0.5052,0.4812,0.4882,0.5016,0.4889,0.482,0.4744,0.4544,0.4544,0.4659,0.4447,0.4393,0.6808,0.6594,0.6625,0.9391,0.9378,0.9303
22,8,0.0001,LAMB,0.9923,1.0155,1.0113,0.507,0.4807,0.4917,0.5026,0.4917,0.4889,0.4775,0.4524,0.4567,0.4707,0.4404,0.4399,0.6844,0.6611,0.6647,0.9386,0.9408,0.928
23,8,0.0001,LAMB,0.9898,1.0129,1.0082,0.5106,0.4874,0.4934,0.5044,0.4938,0.4824,0.4808,0.4647,0.464,0.4738,0.4605,0.4555,0.6874,0.6631,0.667,0.9351,0.9572,0.9581
24,8,0.0001,LAMB,0.9858,1.0116,1.0076,0.5148,0.4846,0.4906,0.5095,0.4991,0.4872,0.4852,0.4581,0.4573,0.4787,0.448,0.4426,0.6909,0.6656,0.6685,0.9302,0.9635,0.9594
25,8,0.0001,LAMB,0.9817,1.0089,1.0051,0.5203,0.4885,0.4958,0.5179,0.5033,0.4904,0.4919,0.4635,0.4638,0.4871,0.456,0.4515,0.695,0.6683,0.6709,0.9223,0.9614,0.9593
26,8,0.0001,LAMB,0.9771,1.0061,1.003,0.5198,0.4947,0.4966,0.5163,0.5031,0.4889,0.4918,0.4716,0.467,0.4872,0.4669,0.4583,0.6991,0.6703,0.6719,0.9277,0.9525,0.9575
27,8,0.0001,LAMB,0.9753,1.0051,1.0025,0.5217,0.4964,0.4959,0.5162,0.498,0.492,0.4935,0.4737,0.4679,0.4887,0.4691,0.4601,0.7007,0.6722,0.6742,0.9296,0.9211,0.9134
28,8,0.0001,LAMB,0.9712,1.0031,0.9991,0.5256,0.4966,0.4965,0.5207,0.5056,0.4882,0.4977,0.4733,0.4656,0.4934,0.4679,0.455,0.7047,0.6738,0.6763,0.9241,0.951,0.9587
29,8,0.0001,LAMB,0.9684,1.0008,0.9978,0.5297,0.4997,0.499,0.5246,0.5089,0.4924,0.5019,0.4751,0.4675,0.4978,0.4686,0.4565,0.7071,0.6762,0.6774,0.924,0.9507,0.9525
30,8,0.0001,LAMB,0.9632,0.9985,0.9952,0.5348,0.5008,0.5028,0.5306,0.5037,0.4927,0.5076,0.4804,0.4754,0.5043,0.4786,0.4698,0.7119,0.6774,0.6792,0.9148,0.9412,0.9425
31,8,0.0001,LAMB,0.9615,0.9976,0.995,0.5327,0.5039,0.5055,0.5291,0.5054,0.501,0.5059,0.4825,0.4782,0.503,0.4797,0.4722,0.7125,0.6795,0.6815,0.9174,0.9128,0.9105
32,8,0.0001,LAMB,0.9572,0.9956,0.9932,0.5358,0.5062,0.5032,0.5322,0.5048,0.4974,0.5093,0.4856,0.4766,0.5067,0.4832,0.4708,0.7165,0.6816,0.6835,0.9148,0.9125,0.9105
33,8,0.0001,LAMB,0.9517,0.9918,0.9891,0.5453,0.5078,0.5094,0.5422,0.5085,0.5005,0.5193,0.4876,0.4826,0.5175,0.4862,0.4778,0.7217,0.6837,0.6853,0.9068,0.9317,0.9355
